_Lav___,퀸스갬빗보다가 뉴트.... 하며 아련해지는 사람... 메런 크루 다른작품에서보면 괜히 메런 세계관 벗어나서 다른 세계관에서 환생한듯한 시선으로 바라보게됨....
hahihah4,@oc_30k 퀸스갬빗
mmmggggrrrrr,홈에 자꾸 뜨는데 퀸스갬빗도 봐야지
_yumyomi,퀸스갬빗 봐야징
poudre24,@bread_yogurt 퀸스갬빗!! 이요ㅠ
E_stpsoo,퀸스갬빗 재밌음진심...뭐 보고 나더 해보고싶단 생각 든거 ㄹㅇ딩초이후로 첨인듯 책도 봐야겟서
mudcreature_new,퀸스갬빗 존나 재밌네
T1MELAP5E,퀸스갬빗 1화 봣을땨의 내 반응을 떠올리며 흐뭇
rlaqhrqkq336,퀸스갬빗 벌써 재밋다 모야..........
OFF0717,퀸스갬빗 보는중 ㅈㄴ제믹지
jangyeni,@Ck4Ho 퀸스갬빗이랑 에밀리인파리 보셨을 것 같고 무서눈 거 좋아하시면 콜도 괜찮아요!
again_chwe,퀸스갬빗 보는중
adoreallmate,@my_dear_00 퀸스갬빗 바로 고고합시다
DAspartame,"이제 케이트 블란쳇 프사, 브리 라슨 프사에 이어서 퀸스갬빗 프사도 믿거 라인에 추가 되나요?"
beena01010,"@Cy6erheart 아니 ㅆㅂ 먼일이에여
인생 진짜 재미없게산다...
싸불하는 언냐들아 그거볼시간에 넷플릭스 퀸̽̈스갬빗보렴 존잼"
hawaiian_pizza1,ㅋㅋㅋㅋ 저 퀸스갬빗서 진짜 좋았던 빻은 장면 식인 남자랑 체스두고 후다닥 화장실 갔는데 초경 터짐 &lt;-  ㅅㅂ ㅋㅋㅋㅋㅋ 이런 짓을 하다니 역시 남자가 만드는 여캐가 더 잼있을 수 밖에 없음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 여기서 다륻 여자 체스 기사한테 생리대 빌리는거까지 갓벽
moon_tanned,그래도 퀸스갬빗 정도면 훌륭한 쇼지 뭐...
hawaiian_pizza1,퀸스갬빗 왜 잼인지 안말하고 회초리질만 하니 나라도 뭐가 왜 좋았는지 많이 얘기해야겠다.
polly_doc,"퀸스갬빗좟잼읍니다
근대감독이머랄까좀
이상하게찍어서빡침"
aengm00,"야내가종강만하면
닥터후퀸스갬빗그
리고대장금보겠다"
hawaiian_pizza1,퀸스갬빗 4화 중간까지 봤고 재밌는 리뷰 있을까 해서 검색해봤는데 회초리질만 존나많네 ㅋㅋㅋㅋㅋㅋ 야 늬들이 이러니까ㅋㅋㅋㅋㅋ 에휴 말 말자 지침
chrrypppy,"최고의 드라마 퀸스갬빗,,,,ㅜ"
Bongeul_,퀸스갬빗 하루만에 다밧어..🥺...😭
aespa_201117,@ae_gumi 스타트업이랑..음..기묘한이야기랑 킹덤이랑 키싱부스랑 퀸스갬빗 이요! (사실 다 유명한것들..ㅎㅎ)
hatekpoppp,체스..하니까 퀸스갬빗이생각나는
A11133072,"@beatriceagain 저도 지금 퀸스갬빗 1시즌 4화, 원앳탐 1시즌에 있어여!
(넷플릭스컬 트윈??)"
beatriceagain,@A11133072 ㅎㅎ 저는 요즘 퀸스갬빗 보구 있어요~ 반반남은 없지만.. 그리고 원데이앳어타임도 다시 보고 있는.. 요즘 많이 보는 스타트업이나 청춘기록은 어떠세요? 수지 남주혁/박소담 박보검이 나온다고만 알고 있습니다~
myjoy_anya,"#최애배우_최애필모_4선
캥님손민수
1. 서러브레즈
2. 퀸스갬빗
3. 더 위치 
4. 23아이덴티티...?"
o0o0o_o000,"퀸스갬빗봤다 
약물중독이 나와서 청불인지
아직은 잘모르겟다"
hawaiian_pizza1,퀸스갬빗 존잼이다... 더 크라운 이후 개잼 드라마 생겼네
manchune,"수능 끝난 당신에게 추천하는... 넷플릭스 드라마

퀸스갬빗
슈퍼걸
z네이션
산타클라리타다이어트
미스트"
banzzack__,퀸스갬빗 베니 와츠 넘 미스캐슷 아니냐....
torsch1usspanik,그리고 퀸스갬빗 최고의 페미는 베스네 친엄마라고 (ㅈㅅ합니다~)
akosori009,와... 퀸스갬빗 오늘 싹다 봐버림 ㅋㅋㅋㅋ 진짜 너무 재밌다
walnut943,퀸스갬빗도 봐야하는데
wayward_killjoy,퀸스갬빗 나에개 죨린을 돌려줘... https://t.co/d6ybp7CGhe
again_chwe,근데 오늘 볼게 너무 많네 체리마호도 오늘 볼거고 퀸스갬빗도 봐야하고 문특도 봐야하는데 아이고
wayward_killjoy,과제 드뎌 끝나서 퀸스갬빗 본다 으아ㅏㅇ
h1mnaemee,퀸스갬빗 보고싶당 나두
torsch1usspanik,퀸스갬빗 진짜 재밋는 드라마인데... 이상한 이유 여주인공이 너무 자주 벗음....... 여주인공이 약을 무조건 벗고 함...... 그리고 뭔가.... 약을 하고 잇다ㅜㅜ 이게 아니라 뭔 섹스처럼 그려짐........
torsch1usspanik,퀸스갬빗 보는데 두들리 큰 버전이 너무....... 이상하게 생겨서 놀랫어
bara__kim,퀸스갬빗 세번 봤더니 해리포터에 다 큰 두들리 나올때마다 적응 못 하고 있음
normalotakuu,밀렸던 퀸스갬빗 다 봤는데ㅠㅠㅠ 다보니까 시원섭섭하네...
danmoo222,퀸스갬빗 시작!
